stp_name,boroughs,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,2nd dose,80+,9372,51226,0.18295396868777575
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,2nd dose,80+,9378,77033,0.12174003349213973
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,2nd dose,80+,8595,60667,0.1416750457415069
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,2nd dose,80+,8599,55290,0.15552541146681137
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,2nd dose,Under 70,3038,1435451,0.00211640801392733
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,2nd dose,Under 70,3049,1079153,0.0028253639659992606
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,2nd dose,Under 70,3449,1477676,0.0023340705269626087
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,2nd dose,Under 70,3671,1305228,0.0028125354344221854
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,2nd dose,Under 70,4632,1052311,0.004401740550084529
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,1st dose,65-69,41596,62019,0.6706976894177591
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,1st dose,65-69,40649,52454,0.7749456666793763
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,1st dose,65-69,62193,81945,0.7589602782354018
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,1st dose,65-69,47957,59879,0.8008984785985069
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,1st dose,65-69,44693,56629,0.7892246022356036
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,1st dose,70-74,43541,51198,0.8504433766944022
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,1st dose,70-74,39111,46739,0.8367958236162519
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,1st dose,70-74,58066,69815,0.8317123827257753
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,1st dose,70-74,48550,54280,0.8944362564480471
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,1st dose,70-74,47430,51514,0.9207205808129829
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,1st dose,75-79,30226,36008,0.8394245723172629
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,1st dose,75-79,28342,33389,0.8488424331366617
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,1st dose,75-79,42521,50001,0.8504029919401612
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,1st dose,75-79,34741,38296,0.9071704616670149
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,1st dose,75-79,33383,35616,0.9373034591194969
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,1st dose,80+,45293,57517,0.7874715301563017
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,1st dose,80+,41102,51226,0.8023659860227228
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,1st dose,80+,62336,77033,0.8092116365713395
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,1st dose,80+,51419,60667,0.84756127713584
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,1st dose,80+,48606,55290,0.8791101465002713
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,1st dose,Under 65,155515,1373432,0.1132309426313061
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,1st dose,Under 65,151719,1026699,0.14777359284464092
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,1st dose,Under 65,225793,1395731,0.16177400946170858
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,1st dose,Under 65,175411,1245349,0.14085288541605606
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,1st dose,Under 65,146145,995682,0.1467787908187554
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,2nd dose,65-69,196,62019,0.003160321836856447
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,2nd dose,65-69,245,52454,0.0046707591413428905
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,2nd dose,65-69,280,81945,0.0034169259869424613
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,2nd dose,65-69,262,59879,0.004375490572654854
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,2nd dose,65-69,366,56629,0.00646311960303025
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,2nd dose,70-74,217,51198,0.004238446814328685
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,2nd dose,70-74,302,46739,0.006461413380688504
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,2nd dose,70-74,254,69815,0.0036381866361097186
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,2nd dose,70-74,227,54280,0.00418201915991157
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,2nd dose,70-74,300,51514,0.005823659587684901
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,2nd dose,75-79,172,36008,0.00477671628526994
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,2nd dose,75-79,796,33389,0.02384018688789721
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,2nd dose,75-79,271,50001,0.005419891602167957
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,2nd dose,75-79,357,38296,0.009322122414873617
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,2nd dose,75-79,344,35616,0.009658580413297395
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,2nd dose,80+,6320,57517,0.10988055705269746
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,2nd dose,80+,9409,51226,0.18367625815015812
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,2nd dose,80+,9466,77033,0.12288240104890112
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,2nd dose,80+,8723,60667,0.1437849242586579
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,2nd dose,80+,8622,55290,0.15594139989148129
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-21,2nd dose,Under 65,3121,1373432,0.0022724095550416767
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-21,2nd dose,Under 65,3103,1026699,0.0030223074143444183
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-21,2nd dose,Under 65,4018,1395731,0.0028787782172925874
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-21,2nd dose,Under 65,4218,1245349,0.003387002358375042
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-21,2nd dose,Under 65,4882,995682,0.004903171896247999
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,1st dose,65-69,47006,62019,0.7579290217513988
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,1st dose,65-69,42323,52454,0.806859343424715
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,1st dose,65-69,65150,81945,0.7950454573189334
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,1st dose,65-69,50745,59879,0.8474590424021777
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,1st dose,65-69,47557,56629,0.8397993960691519
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,1st dose,70-74,44278,51198,0.8648384702527443
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,1st dose,70-74,39667,46739,0.8486916707674533
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,1st dose,70-74,59009,69815,0.8452195087015685
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,1st dose,70-74,49323,54280,0.9086772291820192
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,1st dose,70-74,48087,51514,0.9334743953100129
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,1st dose,75-79,30629,36008,0.8506165296600755
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,1st dose,75-79,28675,33389,0.8588157776513223
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,1st dose,75-79,43099,50001,0.8619627607447851
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,1st dose,75-79,35160,38296,0.9181115521203259
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,1st dose,75-79,33757,35616,0.9478043575920935
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,1st dose,80+,45783,57517,0.7959907505607038
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,1st dose,80+,41558,51226,0.8112677156131652
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,1st dose,80+,62889,77033,0.8163903781496242
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,1st dose,80+,51981,60667,0.856824962500206
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,1st dose,80+,48955,55290,0.8854223186833062
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,1st dose,Under 65,219350,1373432,0.1597093995188695
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,1st dose,Under 65,200261,1026699,0.1950532726729061
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,1st dose,Under 65,296203,1395731,0.2122206929558776
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,1st dose,Under 65,236557,1245349,0.1899523747961415
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,1st dose,Under 65,194277,995682,0.1951195261137592
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,2nd dose,65-69,333,62019,0.005369322304455086
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,2nd dose,65-69,354,52454,0.00674877035116483
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,2nd dose,65-69,437,81945,0.0053328452010494845
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,2nd dose,65-69,353,59879,0.005895222031096044
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,2nd dose,65-69,477,56629,0.008423246040014834
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,2nd dose,70-74,315,51198,0.0061525840853158325
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,2nd dose,70-74,393,46739,0.008408395558313186
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,2nd dose,70-74,348,69815,0.004984602162858984
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,2nd dose,70-74,336,54280,0.006190125276344879
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,2nd dose,70-74,372,51514,0.007221337888729277
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,2nd dose,75-79,327,36008,0.009081315263274829
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,2nd dose,75-79,857,33389,0.025667135883075263
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,2nd dose,75-79,353,50001,0.007059858802823943
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,2nd dose,75-79,459,38296,0.011985585961980363
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,2nd dose,75-79,389,35616,0.010922057502246181
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,2nd dose,80+,7709,57517,0.13402993897456406
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,2nd dose,80+,9573,51226,0.18687775738882598
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,2nd dose,80+,10043,77033,0.1303726974153934
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,2nd dose,80+,9309,60667,0.15344421184498985
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,2nd dose,80+,8714,55290,0.15760535359016098
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-28,2nd dose,Under 65,4589,1373432,0.0033412648023345894
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-28,2nd dose,Under 65,4737,1026699,0.004613815733725269
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-28,2nd dose,Under 65,6869,1395731,0.004921435434191832
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-28,2nd dose,Under 65,6204,1245349,0.004981736043470545
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-28,2nd dose,Under 65,6460,995682,0.006488015249848847
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,60-64,47991,79241,0.6056334473315581
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,60-64,48827,64335,0.7589492500194296
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,60-64,73338,99934,0.733864350471311
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,60-64,55915,78762,0.7099235672024581
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,60-64,48755,68802,0.7086276561727857
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,65-69,49701,62019,0.8013834470081749
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,65-69,43235,52454,0.8242460060243261
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,65-69,66747,81945,0.8145341387516016
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,65-69,52290,59879,0.8732610765042836
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,65-69,49160,56629,0.868106447226686
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,70-74,44765,51198,0.8743505605687723
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,70-74,40001,46739,0.8558377372215923
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,70-74,59618,69815,0.8539425624865716
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,70-74,49733,54280,0.9162306558585114
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,70-74,48573,51514,0.9429087238420624
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,75-79,30864,36008,0.8571428571428571
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,75-79,28880,33389,0.8649555242744617
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,75-79,43441,50001,0.8688026239475211
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,75-79,35411,38296,0.9246657614372258
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,75-79,34000,35616,0.9546271338724169
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,80+,45950,57517,0.7988942399638368
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,80+,41733,51226,0.8146839495568656
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,80+,63078,77033,0.8188438721067595
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,80+,52152,60667,0.8596436283317125
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,80+,49168,55290,0.8892747332248147
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,1st dose,Under 60,222217,1294191,0.17170340390251515
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,1st dose,Under 60,191288,962364,0.1987688650032628
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,1st dose,Under 60,273262,1295797,0.21088334052324553
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,1st dose,Under 60,222133,1166587,0.1904127167540869
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,1st dose,Under 60,183418,926880,0.19788753668220266
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,60-64,743,79241,0.009376459156244873
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,60-64,787,64335,0.012232843708712209
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,60-64,1110,99934,0.011107330838353312
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,60-64,872,78762,0.011071328813387167
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,60-64,1165,68802,0.016932647306764338
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,65-69,449,62019,0.007239716860961963
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,65-69,564,52454,0.010752278186601594
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,65-69,847,81945,0.010336201110500945
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-03-07,2nd dose,65-69,520,59879,0.008684179762521085
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-03-07,2nd dose,65-69,712,56629,0.012573063271468682
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-03-07,2nd dose,70-74,423,51198,0.008262041485995547
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-03-07,2nd dose,70-74,587,46739,0.012559104816106463
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-03-07,2nd dose,70-74,1657,69815,0.02373415455131419
